2011 super output area - lower layer,mnemonic,Date,Gender,All Ages,Age 0,Age 1,Age 2,Age 3,Age 4,Aged 5-9,Aged 10-14,Aged 15-19,Aged 20-24,Aged 25-29,Aged 30-34,Aged 35-39,Aged 40-44,Aged 45-49,Aged 50-54,Aged 55-59,Aged 60-64,Aged 65-69,Aged 70-74,Aged 75-79,Aged 80-84,Age 85,Age 86,Age 87,Age 88,Age 89,Aged 90+
St Albans 001A,E01023690,2018,Male,813,6,11,9,13,13,99,88,42,22,23,19,39,100,66,66,42,40,32,33,20,14,1,0,1,1,1,12
St Albans 001B,E01023691,2018,Male,758,1,3,6,15,13,86,82,65,13,13,11,31,61,79,64,57,42,36,33,18,13,3,2,1,5,1,4
St Albans 001C,E01023692,2018,Male,674,5,13,11,9,10,79,50,49,40,30,33,44,69,46,48,31,25,18,26,15,12,1,3,4,0,0,3
St Albans 001D,E01023693,2018,Male,737,7,9,9,13,11,47,79,50,39,49,26,43,53,51,66,48,35,35,25,15,17,2,2,1,1,1,3
St Albans 001E,E01023694,2018,Male,802,7,8,11,11,12,97,75,43,25,11,9,63,70,68,56,61,49,41,44,19,12,5,3,0,0,0,2
St Albans 002A,E01023685,2018,Male,833,12,13,14,15,11,96,97,42,19,20,38,66,70,81,60,41,43,34,25,11,13,2,1,0,1,1,7
St Albans 002B,E01023686,2018,Male,768,10,11,5,11,18,84,68,66,9,15,13,53,60,56,64,39,35,34,40,21,22,8,1,0,0,1,24
St Albans 002C,E01023687,2018,Male,723,11,10,13,16,11,84,56,49,23,38,38,44,42,74,50,49,33,26,13,15,17,2,3,3,0,2,1
St Albans 002D,E01023688,2018,Male,760,7,8,14,13,6,59,64,40,29,32,52,42,65,76,48,52,28,32,29,33,21,1,2,3,2,0,2
St Albans 002E,E01023689,2018,Male,776,8,3,10,6,7,91,97,75,39,19,13,25,81,44,68,60,26,42,21,13,20,1,1,1,1,2,2
St Albans 003A,E01023699,2018,Male,695,4,8,7,5,6,52,56,48,20,21,17,32,53,70,56,55,30,31,39,23,22,9,10,4,7,5,5
St Albans 003B,E01023700,2018,Male,665,4,5,5,8,8,67,73,45,30,7,9,31,45,47,76,46,50,26,27,19,17,3,3,2,2,3,7
St Albans 003C,E01023701,2018,Male,919,13,8,12,7,6,66,47,45,40,93,38,49,69,64,74,66,39,34,63,27,30,9,1,1,6,4,8
St Albans 003D,E01023702,2018,Male,893,12,15,8,21,22,74,101,32,32,48,48,69,86,85,65,54,20,26,26,17,21,3,1,3,0,1,3
St Albans 003E,E01023703,2018,Male,779,13,14,19,15,15,94,74,31,19,19,18,61,58,59,56,51,41,25,42,27,16,1,0,3,3,0,5
St Albans 004A,E01023746,2018,Male,722,12,9,15,9,21,75,79,28,17,23,40,56,48,52,45,37,33,41,39,14,15,2,5,0,0,4,3
St Albans 004B,E01023747,2018,Male,839,13,7,12,8,13,79,55,36,42,27,36,44,65,57,68,59,45,47,45,36,19,8,4,3,2,2,7
St Albans 004C,E01023748,2018,Male,676,3,4,4,3,12,42,52,33,27,10,10,25,37,51,51,59,56,30,56,41,41,4,8,4,4,1,8
St Albans 004D,E01023749,2018,Male,870,7,12,7,10,8,72,67,89,27,24,18,44,74,78,67,51,41,40,47,40,20,5,3,3,7,2,7
St Albans 005A,E01023695,2018,Male,771,6,15,12,18,10,63,50,42,25,23,17,44,59,55,63,69,35,41,47,35,22,5,2,4,1,1,7
St Albans 005B,E01023696,2018,Male,853,6,4,8,6,10,58,80,64,30,18,17,19,47,70,76,64,57,45,46,52,51,4,7,3,2,4,5
St Albans 005C,E01023697,2018,Male,901,11,14,22,14,16,71,56,41,32,51,44,62,82,66,72,48,46,53,41,21,23,4,2,2,2,0,5
St Albans 005D,E01023698,2018,Male,758,6,6,4,14,10,44,48,48,28,27,18,48,46,59,63,73,44,50,42,38,28,4,1,1,1,5,2
St Albans 006A,E01023722,2018,Male,766,3,8,10,10,8,70,53,42,22,39,37,34,53,50,70,50,39,41,38,37,28,3,5,7,0,2,7
St Albans 006B,E01023723,2018,Male,857,11,16,14,19,17,82,64,41,47,41,33,67,54,59,61,52,40,41,51,17,16,2,3,3,0,2,4
St Albans 006C,E01023724,2018,Male,732,3,8,10,9,9,42,36,46,15,19,34,50,57,58,48,57,47,41,45,45,18,7,4,4,5,3,12
St Albans 006D,E01023725,2018,Male,739,4,4,14,10,6,50,67,42,21,14,34,37,60,54,64,60,40,35,49,33,26,4,3,5,0,0,3
St Albans 007A,E01023713,2018,Male,967,12,15,10,14,13,75,63,65,41,77,42,63,92,86,86,45,38,43,45,16,6,4,4,4,4,0,4
St Albans 007B,E01023734,2018,Male,806,4,6,12,13,6,55,69,45,34,35,36,41,64,65,70,51,57,45,34,27,28,3,0,1,0,3,2
St Albans 007C,E01023735,2018,Male,858,9,9,11,10,11,51,68,33,31,43,48,66,58,73,63,72,57,46,30,19,23,3,5,3,3,2,11
St Albans 007D,E01023736,2018,Male,741,6,6,8,11,6,64,50,35,32,33,36,52,46,60,64,57,40,29,39,25,14,5,5,5,1,1,11
St Albans 008A,E01023709,2018,Male,839,9,7,10,12,13,56,72,54,34,38,30,73,64,46,44,63,61,53,34,18,28,3,1,2,3,2,9
St Albans 008B,E01023710,2018,Male,794,7,8,8,12,11,84,64,75,25,27,18,32,68,50,62,53,41,52,36,23,15,3,2,7,2,2,7
St Albans 008C,E01023711,2018,Male,760,4,3,2,7,6,71,74,50,31,23,27,33,48,55,65,52,41,34,50,30,27,5,5,1,3,4,9
St Albans 008D,E01023712,2018,Male,918,6,10,8,15,14,79,89,44,37,57,69,77,62,75,69,65,35,28,30,16,20,2,1,0,2,2,6
St Albans 009A,E01023669,2018,Male,806,18,18,18,10,13,89,70,52,30,33,45,69,70,73,54,35,36,22,18,13,12,2,1,1,1,0,3
