Age,Date,Gender,E07000095,E07000096,E07000242,E07000098,E07000099,E07000240,E07000243,E07000102,E07000103,E07000241
Age 0,2018,Male,655,1016,828,619,768,896,626,476,745,677
Age 1,2018,Male,595,1071,947,686,791,951,619,532,689,734
Age 2,2018,Male,677,1021,833,689,858,983,588,537,740,704
Age 3,2018,Male,639,1011,903,721,805,1047,575,596,716,781
Age 4,2018,Male,627,1044,877,749,869,1009,623,592,771,802
Aged 5-9,2018,Male,3251,5375,4960,3673,4579,5790,3057,3219,3494,3929
Aged 10-14,2018,Male,2972,4802,4788,3509,4005,5428,2783,3147,3246,3492
Aged 15-19,2018,Male,2869,4075,4363,3015,3433,4078,2475,2640,2750,3692
Aged 20-24,2018,Male,2723,3775,3255,2588,3057,2839,2547,2181,2403,6408
Aged 25-29,2018,Male,3031,4533,3803,2856,3684,3723,3036,2491,3241,5211
Aged 30-34,2018,Male,2973,5056,4090,2961,4045,3994,3278,2482,3942,4270
Aged 35-39,2018,Male,3176,5340,4818,3281,4580,5097,3138,3055,4280,4064
Aged 40-44,2018,Male,2891,5238,5072,3352,4639,5706,2634,3351,3848,3450
Aged 45-49,2018,Male,3195,5571,5657,3369,4801,5748,2857,3429,3403,3697
Aged 50-54,2018,Male,3448,5472,5966,3621,4942,5565,3237,3468,3208,3699
Aged 55-59,2018,Male,2990,5142,5147,3394,4465,4516,2879,3107,2730,3540
Aged 60-64,2018,Male,2412,4318,4145,2682,3562,3560,2378,2444,2172,2876
Aged 65-69,2018,Male,2073,3621,3505,2302,3216,3139,1778,2161,1630,2343
Aged 70-74,2018,Male,2185,3227,3393,2290,3092,3059,1560,2094,1492,2204
Aged 75-79,2018,Male,1436,2065,2222,1474,2111,2011,1099,1319,1043,1469
Aged 80-84,2018,Male,1150,1562,1622,1198,1696,1616,820,1111,787,1188
Age 85,2018,Male,150,249,244,170,239,274,94,175,108,202
Age 86,2018,Male,142,230,225,140,211,232,105,128,122,199
Age 87,2018,Male,114,178,184,145,165,204,121,124,115,169
Age 88,2018,Male,129,173,162,135,189,160,84,104,78,138
Age 89,2018,Male,90,147,130,129,123,137,61,79,54,120
Aged 90+,2018,Male,249,481,426,364,396,505,204,322,204,359
Age 0,2018,Female,604,961,775,589,756,815,563,465,667,654
Age 1,2018,Female,644,927,777,625,789,859,531,532,714,691
Age 2,2018,Female,645,987,873,675,792,995,602,557,723,690
Age 3,2018,Female,631,1010,820,694,774,948,583,559,665,728
Age 4,2018,Female,592,996,825,708,807,1004,581,584,678,792
Aged 5-9,2018,Female,3138,5036,4600,3614,4318,5381,3029,3099,3588,3737
Aged 10-14,2018,Female,2858,4489,4679,3351,3918,5168,2474,2998,3001,3278
Aged 15-19,2018,Female,2505,4003,4065,2763,3336,3885,2086,2473,2444,3993
Aged 20-24,2018,Female,2518,3436,3179,2548,2758,2882,2416,2017,2417,6676
Aged 25-29,2018,Female,3014,4549,4136,3048,3639,3721,3191,2675,3437,4444
Aged 30-34,2018,Female,3371,5521,4557,3325,4331,4560,3538,2664,4227,4351
Aged 35-39,2018,Female,3556,5878,5104,3792,5058,5667,3293,3548,4401,4156
Aged 40-44,2018,Female,3132,5297,5398,3618,4759,5967,2703,3394,3597,3629
Aged 45-49,2018,Female,3542,5625,5937,3822,5003,5655,3090,3469,3353,3716
Aged 50-54,2018,Female,3858,5524,6072,4033,5085,5546,3245,3605,3107,3898
Aged 55-59,2018,Female,3206,5306,5253,3461,4299,4600,2930,3151,2595,3621
Aged 60-64,2018,Female,2633,4396,4075,2833,3666,3764,2228,2617,2124,2829
Aged 65-69,2018,Female,2295,3755,3720,2634,3449,3424,1794,2234,1837,2446
Aged 70-74,2018,Female,2430,3588,3694,2598,3405,3445,1786,2330,1640,2460
