2023 Lower tier local authorities Code,2023 Lower tier local authorities,Age (91 categories) Code,Age (91 categories),Sex (2 categories) Code,Sex (2 categories),Observation
E07000072,Epping Forest,0,Aged under 1 year,1,Female,747
E07000072,Epping Forest,0,Aged under 1 year,2,Male,764
E07000072,Epping Forest,1,Aged 1 year,1,Female,776
E07000072,Epping Forest,1,Aged 1 year,2,Male,888
E07000072,Epping Forest,2,Aged 2 years,1,Female,734
E07000072,Epping Forest,2,Aged 2 years,2,Male,883
E07000072,Epping Forest,3,Aged 3 years,1,Female,778
E07000072,Epping Forest,3,Aged 3 years,2,Male,809
E07000072,Epping Forest,4,Aged 4 years,1,Female,782
E07000072,Epping Forest,4,Aged 4 years,2,Male,761
E07000072,Epping Forest,5,Aged 5 years,1,Female,800
E07000072,Epping Forest,5,Aged 5 years,2,Male,807
E07000072,Epping Forest,6,Aged 6 years,1,Female,749
E07000072,Epping Forest,6,Aged 6 years,2,Male,696
E07000072,Epping Forest,7,Aged 7 years,1,Female,742
E07000072,Epping Forest,7,Aged 7 years,2,Male,745
E07000072,Epping Forest,8,Aged 8 years,1,Female,744
E07000072,Epping Forest,8,Aged 8 years,2,Male,812
E07000072,Epping Forest,9,Aged 9 years,1,Female,792
E07000072,Epping Forest,9,Aged 9 years,2,Male,800
E07000072,Epping Forest,10,Aged 10 years,1,Female,751
E07000072,Epping Forest,10,Aged 10 years,2,Male,803
E07000072,Epping Forest,11,Aged 11 years,1,Female,776
E07000072,Epping Forest,11,Aged 11 years,2,Male,850
E07000072,Epping Forest,12,Aged 12 years,1,Female,789
E07000072,Epping Forest,12,Aged 12 years,2,Male,786
E07000072,Epping Forest,13,Aged 13 years,1,Female,746
E07000072,Epping Forest,13,Aged 13 years,2,Male,859
E07000072,Epping Forest,14,Aged 14 years,1,Female,742
E07000072,Epping Forest,14,Aged 14 years,2,Male,801
E07000072,Epping Forest,15,Aged 15 years,1,Female,738
E07000072,Epping Forest,15,Aged 15 years,2,Male,800
E07000072,Epping Forest,16,Aged 16 years,1,Female,725
E07000072,Epping Forest,16,Aged 16 years,2,Male,787
E07000072,Epping Forest,17,Aged 17 years,1,Female,770
E07000072,Epping Forest,17,Aged 17 years,2,Male,780
E07000072,Epping Forest,18,Aged 18 years,1,Female,611
E07000072,Epping Forest,18,Aged 18 years,2,Male,700
E07000072,Epping Forest,19,Aged 19 years,1,Female,511
E07000072,Epping Forest,19,Aged 19 years,2,Male,609
E07000072,Epping Forest,20,Aged 20 years,1,Female,560
E07000072,Epping Forest,20,Aged 20 years,2,Male,631
E07000072,Epping Forest,21,Aged 21 years,1,Female,608
E07000072,Epping Forest,21,Aged 21 years,2,Male,633
E07000072,Epping Forest,22,Aged 22 years,1,Female,654
E07000072,Epping Forest,22,Aged 22 years,2,Male,730
E07000072,Epping Forest,23,Aged 23 years,1,Female,748
E07000072,Epping Forest,23,Aged 23 years,2,Male,751
E07000072,Epping Forest,24,Aged 24 years,1,Female,714
E07000072,Epping Forest,24,Aged 24 years,2,Male,813
E07000072,Epping Forest,25,Aged 25 years,1,Female,700
E07000072,Epping Forest,25,Aged 25 years,2,Male,742
E07000072,Epping Forest,26,Aged 26 years,1,Female,754
E07000072,Epping Forest,26,Aged 26 years,2,Male,752
E07000072,Epping Forest,27,Aged 27 years,1,Female,772
E07000072,Epping Forest,27,Aged 27 years,2,Male,715
E07000072,Epping Forest,28,Aged 28 years,1,Female,818
E07000072,Epping Forest,28,Aged 28 years,2,Male,742
E07000072,Epping Forest,29,Aged 29 years,1,Female,827
E07000072,Epping Forest,29,Aged 29 years,2,Male,754
E07000072,Epping Forest,30,Aged 30 years,1,Female,899
E07000072,Epping Forest,30,Aged 30 years,2,Male,800
E07000072,Epping Forest,31,Aged 31 years,1,Female,954
E07000072,Epping Forest,31,Aged 31 years,2,Male,838
E07000072,Epping Forest,32,Aged 32 years,1,Female,953
E07000072,Epping Forest,32,Aged 32 years,2,Male,855
E07000072,Epping Forest,33,Aged 33 years,1,Female,944
E07000072,Epping Forest,33,Aged 33 years,2,Male,850
E07000072,Epping Forest,34,Aged 34 years,1,Female,917
E07000072,Epping Forest,34,Aged 34 years,2,Male,848
E07000072,Epping Forest,35,Aged 35 years,1,Female,967
E07000072,Epping Forest,35,Aged 35 years,2,Male,802
E07000072,Epping Forest,36,Aged 36 years,1,Female,957
E07000072,Epping Forest,36,Aged 36 years,2,Male,812
E07000072,Epping Forest,37,Aged 37 years,1,Female,916
E07000072,Epping Forest,37,Aged 37 years,2,Male,856
E07000072,Epping Forest,38,Aged 38 years,1,Female,980
E07000072,Epping Forest,38,Aged 38 years,2,Male,866
E07000072,Epping Forest,39,Aged 39 years,1,Female,943
E07000072,Epping Forest,39,Aged 39 years,2,Male,895
E07000072,Epping Forest,40,Aged 40 years,1,Female,998
E07000072,Epping Forest,40,Aged 40 years,2,Male,948
E07000072,Epping Forest,41,Aged 41 years,1,Female,961
E07000072,Epping Forest,41,Aged 41 years,2,Male,933
E07000072,Epping Forest,42,Aged 42 years,1,Female,906
E07000072,Epping Forest,42,Aged 42 years,2,Male,845
E07000072,Epping Forest,43,Aged 43 years,1,Female,912
