Age US_females_1935_nm1x US_females_1935_l1x US_females_1935_e1x US_females_1995_nm2x US_females_1995_l2x US_females_1995_e2x
0 .047139 1.00000 63.32 .006830 1.00000 79.00
1 .004157 .95458 65.32 .000358 .99321 78.54
5 .001525 .93887 62.39 .000167 .99179 74.65
10 .001208 .93174 57.85 .000196 .99096 69.71
15 .002022 .92613 53.19 .000459 .98999 64.78
20 .002944 .91681 48.70 .000503 .98772 59.92
25 .003562 .90341 44.38 .000647 .98524 55.06
30 .003980 .88746 40.14 .000892 .98206 50.23
35 .005003 .86997 35.89 .001266 .97769 45.45
40 .005927 .84847 31.74 .001765 .97152 40.72
45 .008310 .82368 27.61 .002612 .96298 36.06
50 .011638 .79012 23.67 .004171 .95048 31.49
55 .016309 .74539 19.94 .006575 .93085 27.10
60 .024373 .68688 16.41 .010387 .90071 22.92
65 .035823 .60779 13.21 .016349 .85504 19.00
70 .055769 .50757 10.31 .024504 .78775 15.40
75 .092454 .38276 7.82 .038841 .69655 12.07
80 .130808 .23930 6.03 .063900 .57275 9.12
85+ .222482 .12281 4.49 .151106 .41424 6.62
